iterasi,x0,x1,x2,x_hat,error,f(x_hat)
1,1.000000000000,-1.000000000000,1.320469247756,0.074174639230,0.925825360770,-0.999991339479
2,0.074174639230,0.999998764543,-0.999998588045,0.367135203463,0.292960564233,-0.977318320612
3,0.367135203463,0.996858747409,-0.996385126687,0.518319598310,0.151184394847,-0.879090157581
4,0.518319598310,0.983354388338,-0.980238433292,0.607364684884,0.089045086574,-0.739305574585
5,0.607364684884,0.963313963065,-0.954146053244,0.663095911524,0.055731226641,-0.600854506979
6,0.663095911524,0.941800551904,-0.922412355705,0.699343818795,0.036247907271,-0.483027341368
7,0.699343818795,0.921639503932,-0.887639297478,0.723667500727,0.024323681931,-0.389434230046
8,0.723667500727,0.903998663166,-0.851052524957,0.740470034933,0.016802534206,-0.317187288830
9,0.740470034933,0.889114329853,-0.812863523558,0.752409331364,0.011939296432,-0.261795109141
10,0.752409331364,0.876776103003,-0.772363110913,0.761130527692,0.008721196327,-0.219092717673
11,0.761130527692,0.866607335957,-0.727598735282,0.767676076403,0.006545548711,-0.185754389355
12,0.767676076403,0.858206254346,-0.673876369912,0.772727012219,0.005050935816,-0.159252429067
13,0.772727012219,0.851200068636,-0.595876013599,0.776763604963,0.004036592744,-0.137576435755
14,0.776763604963,0.845229705203,0.448997853153,0.786851032418,0.010087427455,-0.081431452993
15,0.786851032418,0.828601417238,0.703064696921,0.797270811224,0.010419778806,-0.020374912552
16,0.797270811224,0.808148752156,0.781672289232,0.800438566206,0.003167754982,-0.001176904795
17,0.800438566206,0.801076296549,0.799595275105,0.800630518842,0.000191952636,-0.000003886175
18,0.800630518842,0.800632626635,0.800627744770,0.800631154466,0.000000635624,-0.000000000042
