iterasi,a,b,c,f(c)
1,0.000000000000,1.000000000000,0.500000000000,-0.898437500000
2,0.500000000000,1.000000000000,0.750000000000,-0.273254394531
3,0.750000000000,1.000000000000,0.875000000000,0.546741008759
4,0.750000000000,0.875000000000,0.812500000000,0.074726361781
5,0.750000000000,0.812500000000,0.781250000000,-0.112958448677
6,0.781250000000,0.812500000000,0.796875000000,-0.022752592349
7,0.796875000000,0.812500000000,0.804687500000,0.025050011031
8,0.796875000000,0.804687500000,0.800781250000,0.000918009283
9,0.796875000000,0.800781250000,0.798828125000,-0.010974531283
10,0.798828125000,0.800781250000,0.799804687500,-0.005042625145
11,0.799804687500,0.800781250000,0.800292968750,-0.002065905761
12,0.800292968750,0.800781250000,0.800537109375,-0.000574848547
13,0.800537109375,0.800781250000,0.800659179688,0.000171355185
14,0.800537109375,0.800659179688,0.800598144531,-0.000201802963
15,0.800598144531,0.800659179688,0.800628662109,-0.000015237962
16,0.800628662109,0.800659179688,0.800643920898,0.000078055093
17,0.800628662109,0.800643920898,0.800636291504,0.000031407686
18,0.800628662109,0.800636291504,0.800632476807,0.000008084643
19,0.800628662109,0.800632476807,0.800630569458,-0.000003576714
20,0.800630569458,0.800632476807,0.800631523132,0.000002253950
21,0.800630569458,0.800631523132,0.800631046295,-0.000000661386
22,0.800631046295,0.800631523132,0.800631284714,0.000000796281
23,0.800631046295,0.800631284714,0.800631165504,0.000000067448
24,0.800631046295,0.800631165504,0.800631105900,-0.000000296969
25,0.800631105900,0.800631165504,0.800631135702,-0.000000114761
26,0.800631135702,0.800631165504,0.800631150603,-0.000000023656
27,0.800631150603,0.800631165504,0.800631158054,0.000000021896
28,0.800631150603,0.800631158054,0.800631154329,-0.000000000880
29,0.800631154329,0.800631158054,0.800631156191,0.000000010508
30,0.800631154329,0.800631156191,0.800631155260,0.000000004814
31,0.800631154329,0.800631155260,0.800631154794,0.000000001967
32,0.800631154329,0.800631154794,0.800631154561,0.000000000543
33,0.800631154329,0.800631154561,0.800631154445,-0.000000000169
34,0.800631154445,0.800631154561,0.800631154503,0.000000000187
35,0.800631154445,0.800631154503,0.800631154474,0.000000000009
